region,ccg,name,postal_code,latitude,longitude
East of England,NHS Basildon & Brentwood CCG,Brentwood Centre,CM15 9NN,51.6348739,0.2997175
East of England,NHS Bedfordshire CCG,Shefford Health Centre,SG17 5FS,52.0347173,-0.3218438
East of England,NHS Cambridgeshire & Peterborough CCG,Cathedral Medical Centre,CB6 1DN,52.413298,0.2749962
East of England,NHS Cambridgeshire & Peterborough CCG,Staploe Medical Centre,CB7 5JD,52.3351566,0.3429604000000001
East of England,NHS East & North Herts CCG,"Barclay Hall, Hoddesdon Parish Church",EN11 8TR,51.76250599999999,-0.011945
East of England,NHS East & North Herts CCG,Moors Walk Surgery,AL7 2BQ,51.801033,-0.172779
East of England,NHS East & North Herts CCG,Parkway Surgery,AL8 6HG,51.8027835,-0.2090117
East of England,NHS Herts Valley CCG,Sheepcot Medical Centre,WD25 7NL,51.694961,-0.4129789
East of England,NHS Herts Valley CCG,The Colne Practice,WD3 7DJ,51.6367552,-0.4813456
East of England,NHS Ipswich & East Suffolk CCG,Two Rivers Medical Centre,IP4 5PB,52.06021519999999,1.1955724
East of England,NHS Luton CCG,Kingsway Health Centre,LU4 8BY,51.8900076,-0.4425854
East of England,NHS Mid Essex CCG,Danbury Medical Centre,CM3 4QL,51.7160123,0.586299
East of England,NHS Milton Keynes CCG,Whaddon Medical Centre,MK3 7TT,51.9997553,-0.7668258
East of England,NHS Norfolk & Waveney CCG,Fakenham Medical Practice 		,NR21 8SY,52.839341,0.867618
East of England,NHS Norfolk & Waveney CCG,Kirkley Mill,NR33 0HF,52.46811520000001,1.7437936
East of England,NHS Norfolk & Waveney CCG,Lionwood Medical Practice ,NR1 4NU,52.633275,1.3195205
East of England,NHS Norfolk & Waveney CCG,St James Medical Practice,TA1 1JP,51.0180217,-3.1019673
East of England,NHS Norfolk & Waveney CCG,Swanton Morley Surgery ,NR20 4LT,52.7020381,0.981378
East of England,NHS North East Essex CCG,St Helena Tendring Centre,CO15 1JP,51.788598,1.1503214
East of England,NHS Thurrock CCG,Stifford Clays Health Centre,RM16 2AP,51.4975438,0.3279775
East of England,NHS West Essex CCG,Stansted Surgery,CM24 8XG,51.902051,0.200475
East of England,NHS West Suffolk CCG ,Swan Surgery,IP33 1AE,52.24882849999999,0.7172234
London,NHS Barking and Dagenham CCG,Barking Hospital+C4,IG11 9LX,51.5386657,0.0986528
London,NHS Newham CCG ,Liberty Bridge (Sir Ludwig Guttman),E20 1AS,51.5487124,-0.0053266
London,NHS North Central London CCG,Bingfield ,NE19 2LF,55.04701799999999,-2.0334439
London,NHS North Central London CCG,Lordship Lane Health Centre,N17 6AA,51.597241,-0.0805037
London,NHS South East London CCG ,Hurley Clinic,SE11 4HJ,51.4906759,-0.1070718
London,NHS South East London CCG,Bursted Wood Surgery,DA7 6HZ,51.46576520000001,0.1534125
London,NHS South West London CCG,The Wilson Hospital,CR4 4LD,51.3973193,-0.162985
London,NHS South West London CCG,Fairhill Medical Practice  ,KT2 7PX,51.41717209999999,-0.2825381
Midlands,NHS Herefordshire and Worcestershire CCG,Ombersley Medical Centre,WR9 0EL,52.27735699999999,-2.2288826
Midlands,NHS Herefordshire and Worcestershire CCG,Riverside Surgery,23606,37.0852727,-76.48879579999999
Midlands,NHS Herefordshire and Worcestershire CCG,Stourport Medical Centre,DY13 8EH,52.3434434,-2.2770436
Midlands,NHS Lincolnshire CCG,Louth Hospital,LN11 0EU,53.3702224,-0.0084531
Midlands,NHS Lincolnshire CCG,The Table Tennis Club Grantham Meres,NG31 7XQ,52.9070646,-0.6654624
Midlands,NHS Birmingham and Solihull CCG,Sparkhill Primary Care Centre,B11 4BW,52.4444676,-1.8585405
Midlands,NHS Birmingham and Solihull CCG,West Heath Surgery,B31 3HB,52.4011542,-1.9620318
Midlands,NHS Dudley CCG,Feldon Lane Medical Practice,B62 9DR,52.4670809,-2.0291611
Midlands,NHS Dudley CCG,Northway Medical Practice,DY3 3QY,52.54807109999999,-2.1309869
Midlands,NHS Birmingham and Solihull CCG,Chelmsley Wood,B37,52.479201,-1.7326305
Midlands,NHS North Staffordshire CCG,Ryecroft Surgery,ST5 6PS,53.0156944,-2.2669634
Midlands,NHS Northamptonshire CCG,Nene Valley Surgery,NN14 4QL,52.4000052,-0.5367371
Midlands,NHS Northamptonshire CCG,Nene Valley Surgery,PE2 5GP,52.5475942,-0.2820305
Midlands,NHS Northamptonshire CCG,Queensway Medical Centre,NN8 3QE,52.3049823,-0.7175436
Midlands,NHS Northamptonshire CCG,Weedon Surgery,NN7 4RX,52.2257753,-1.0814668
Midlands,NHS Sandwell and West Birmingham CCG,Enki Medical ,B19 1BP,52.5013375,-1.9213699
Midlands,NHS Shropshire CCG,Bridgnorth Medical Practice,WV16 4EN,52.5379089,-2.4229409
Midlands,NHS Stoke on Trent CCG,Smallthorne Branch Surgery,ST6 1SA,53.0508448,-2.1727357
Midlands,NHS Stoke on Trent CCG,Smallthorne Branch Surgery,ST6 7NN,53.0563484,-2.1742364
Midlands,NHS Wolverhampton CCG,Wood Road Surgery,WV6 8NF,52.59022119999999,-2.1809987
North East & Yorkshire,NHS Barnsley CCG,Priory Campus,S71 5PN,53.5561948,-1.4407674
North East & Yorkshire,NHS Bradford District and Craven CCG,Canalside Healthcare Centre,BD16 4RP,53.8470234,-1.8287104
North East & Yorkshire,NHS Bradford District and Craven CCG,Long Lee,BD21,53.8586538,-1.8917121
North East & Yorkshire,NHS Bradford District and Craven CCG,Skipton Hospital,BD23 2RJ,53.9552504,-2.0188237
North East & Yorkshire,NHS Calderdale CCG,Spring Hall Surgery,HX1 4JG,53.7216275,-1.8925819
North East & Yorkshire,NHS County Durham CCG,Tanfield View Medical Centre,DH9 8AD,54.8698886,-1.7012196
North East & Yorkshire,NHS Doncaster CCG,The Rutland Centre,LE1 1TQ,52.6350705,-1.1280493
North East & Yorkshire,NHS East Riding of Yorkshire CCG,Brough Surgery,HU15 1AY,53.728946,-0.567684
North East & Yorkshire,NHS East Riding of Yorkshire CCG,Church View Surgery,PL9 9BN,50.357225,-4.0865178
North East & Yorkshire,NHS Hull CCG ,KC Stadium,HU3 6HU,53.7459183,-0.3680605
North East & Yorkshire,NHS Leeds CCG,Craven Road Medical Practice,LS6 2RX,53.814169,-1.5472875
North East & Yorkshire,NHS Leeds CCG,East Park Medical Centre,LS9 9JD,53.7941764,-1.5178071
North East & Yorkshire,NHS Leeds CCG,Hillfoot,S6 1HP,53.4153594,-1.4989013
North East & Yorkshire,NHS Newcastle and Gateshead CCG,Birtley Medical Group,DH3 2QT,54.8919249,-1.576421
North East & Yorkshire,NHS North Cumbria CCG,Flatt Walks Health Centre,CA28 7QE,54.544807,-3.5867937
North East & Yorkshire,NHS North Cumbria CCG,North Carlisle Medical Practice,CA3 9JZ,54.9101231,-2.9429626
North East & Yorkshire,NHS North Yorkshire CCG,Derwent Practice,YO17 9RF,54.1327756,-0.7975719
North East & Yorkshire,NHS North Yorkshire CCG,Filey Surgery,YO14 9AE,54.20982069999999,-0.291978
North East & Yorkshire,NHS Northumberland CCG,Lintonville,NE63,55.1843866,-1.5699861
North East & Yorkshire,NHS Rotherham CCG,Anston Medical Centre,S25 4DB,53.357316,-1.2231424
North East & Yorkshire,NHS Sheffield CCG,The Health Care Surgery,S5 8GS,53.4226436,-1.4877423
North East & Yorkshire,NHS Sheffield CCG,Woodhouse Health Centre,S13 7LY,53.3577807,-1.3723374
North East & Yorkshire,NHS Sunderland CCG,Grindon Lane Primary Care Centre,SR3 4EN,54.8886506,-1.4321181
North East & Yorkshire,NHS Tees Valley CCG ,One Life ,21701,39.4481945,-77.3944731
North East & Yorkshire,NHS Tees Valley CCG ,One Life ,21704,39.39307,-77.411969
North East & Yorkshire,NHS Tees Valley CCG ,Queens Park Medical Centre ,TS18 2AW,54.5691996,-1.3138588
North East & Yorkshire,NHS Vale of York CCG,Haxby Health Centre,YO32 2LL,54.0193658,-1.0820732
North East & Yorkshire,NHS Wakefield CCG,Church View Health Centre,WF9 3AP,53.5933333,-1.3125391
North West,NHS Blackpool CCG,Whitegate Health Centre,FY3 9ES,53.8117355,-3.033398
North West,NHS Bolton CCG,Tonge Moor Health Centre,BL2 2LW,53.5890116,-2.4098586
North West,NHS Bury CCG,Prestwich Walk in Centre,M25 1BT,53.533993,-2.283613
North West,NHS Castle Point & Rochford CCG,Puzey Family Practice,SS4 1AY,51.581471,0.7060266
North West,NHS Chorley and South Ribble CCG,Chorley Surgery,PR7 2EJ,53.651407,-2.633232
North West,NHS Fylde & Wyre CCG,Lytham PCC,FY8 5DZ,53.739006,-2.9473143
North West,NHS Greater Preston CCG,ISSA Medical Centre,PR1 6YA,53.77011350000001,-2.6872585
North West,NHS Morecambe Bay CCG,Alfred Barrow Health Centre ,LA14 2LB,54.1096387,-3.224694
North West,NHS Cheshire CCG ,Dene Drive Primary Care Centre ,CW7 1AT,53.19033109999999,-2.5310344
North West,NHS East Lancashire,St Peter's Centre,63376,38.7916374,-90.59631189999999
North West,NHS Wirral CCG,Birkenhead Medical Building ,CH41 8DB,53.3982186,-3.0464026
North West,NHS Oldham CCG,Barley Clough Medical Centre,OL4 1BN,53.5379497,-2.0962092
South East,NHS Berkshire West CCG,Tilehurst Village Surgery,RG31 5PP,51.4612479,-1.042233
South East,NHS Buckinghamshire CCG,Chalfont Hospital,SL9 9DR,51.6076027,-0.5616325
South East,NHS East Sussex CCG,The Meads Medical Centre,ME10 5AA,51.3504375,0.7173379
South East,NHS Fareham and Gosport CCG,Fareham Community Hospital,SO31 7DQ,50.8708404,-1.2753551
South East,NHS Kent and Medway CCG,Abbey Court Medical Centre,TN4 9TF,51.13775,0.2607628
South East,NHS Kent and Medway CCG,Mocketts Wood ,CT10 2TR,51.3666083,1.4189231
South East,NHS Kent and Medway CCG,Queen Victoria memorial Hospital ,AL6 9PW,51.8282509,-0.2236181
South East,NHS Kent and Medway CCG,Sheerness Health Centre,ME12 1UP,51.4364406,0.7659486
South East,NHS North East Hampshire and Farnham CCG,Monteagle Surgery,GU46 6PY,51.33923739999999,-0.8474661
South East,NHS Oxfordshire CCG,Chipping Norton Health Centre,OX7 5FA,51.94556110000001,-1.5351033
South East,NHS Oxfordshire CCG,Malthouse Surgery,OX14 3JY,51.67206179999999,-1.2829563
South East,NHS Southampton CCG ,St Peters Surgery,12206,42.6866557,-73.8135748
South East,NHS West Sussex CCG,Park Surgery,RH12 1BG,51.06435,-0.3273649
South East,NHS West Sussex CCG,Saxonbrook,RH10 7QH,51.1077849,-0.1535083
South East,NHS West Sussex CCG,Angmering Medical Centre,BN16 4HL,50.8275489,-0.4864917
South West,"NHS Bristol, North Somerset and South Gloucestershire CCG",Kingswood Health Centre,BS15 4EJ,51.4630039,-2.4999376
South West,"NHS Bristol, North Somerset and South Gloucestershire CCG",Riverbank ,SE1 7TJ,51.491367,-0.1214208
South West,NHS Devon CCG,"Abbey Surgery, Tavistock ",PL19 8BU,50.5479406,-4.1479776
South West,NHS Devon CCG,Exminster Limes Surgery,EX6 8DF,50.6790024,-3.4943953
South West,NHS Devon CCG,Exmouth Tennis Centre,EX8 3AE,50.627544,-3.405207
South West,NHS Devon CCG,Exmouth Tennis Centre,EX8 2BU,50.613789,-3.4028693
South West,NHS Devon CCG,Okehampton Medical Centre,EX20 1AY,50.7388248,-3.997618
South West,NHS Dorset CCG,Heatherview Medical Centre,BH12 4AY,50.7396632,-1.912963
South West,NHS Dorset CCG,St Leonards Hospital,BH24 2RR,50.8176159,-1.8562481
South West,NHS Dorset CCG,Stour Surgery,BH23 1PA,50.7363515,-1.7839639
South West,NHS Kernow CCG,Carlyon Health Hub,PL25 4EG,50.3388224,-4.783612499999999
South West,NHS Kernow CCG,Truro Health Park,TR1 2JA,50.2601438,-5.0560925
South West,NHS Kernow CCG,Bodmin Treatment Centre,PL31 2QT,50.4682168,-4.743069999999999
East of England,NHS Herts Valley CCG,Club Batchwood,AL3 5XA,51.7667921,-0.354487
North West,NHS Blackburn with Darwen CCG,Barabara Castle Way Health Centre,BB2 1AX,53.7504225,-2.4885615
North West,NHS East Lancashire CCG,Acorn Primary Health Care Centre,BB5 1RT,53.7524581,-2.3848574
London,NHS South East London CCG,Orpington Health and Wellbeing Centre,BR6 0FE,51.37585989999999,0.1012137
East of England,NHS West Essex CCG,St Margaret's Hospital,CM16 6TN,51.70484279999999,0.1229417
East of England,NHS West Essex CCG,Lister Medical Centre,CM18 6YJ,51.7543953,0.0910251
South East,NHS Surrey Heartlands CCG,Westway Commuity Centre,CR3 5TA,51.2861109,-0.09185220000000001
